Namespace(K=2, batch_size=1, c_range=26, checkpoint_dir='checkpoint_deform/chair_C200_P400_200_D600_200', compute_cd=False, continue_train=False, csize=26, data_content='content_chair', data_dir='./data/03001627/', decay_step=1, dump_deform=False, dump_deform_path='./dump_deform/chair_C200_P400_200_D600/model0', epoch=101, g_dim=32, gpu='0', gw_dim=32, input_size=32, loc_size=32, log_dir='logs/deform//chair_C200_P400_200_D600_200', lr=0.0001, lr_decay=0.99, max_sample_num=600, max_wd_num=32, mode='train', model_name='chair_model0', output_size=128, patch_size=18, sample_dir='samples_deform/chair_C200_P400_200_D600_200', sample_step=32, small_dataset=False, train_complete=False, train_deform=True, train_joint=False, train_patch=False, trans_limit=0.0001, w_dis=3.0, w_ident=0, w_mask=1, w_posi=1, w_r=1, w_s=0, wd_size=8, z_dim=3)
Epoch: [0/101] time: 109, loss_recons: 0.36296, loss_dis: 0.0890, iou:  0.18761,
Epoch: [1/101] time: 245, loss_recons: 0.38814, loss_dis: 0.6456, iou:  0.16514,
Epoch: [2/101] time: 375, loss_recons: 0.36211, loss_dis: 0.1432, iou:  0.18328,
Epoch: [3/101] time: 505, loss_recons: 0.33855, loss_dis: 0.0886, iou:  0.20256,
Epoch: [4/101] time: 634, loss_recons: 0.37076, loss_dis: 0.3168, iou:  0.17099,
Epoch: [5/101] time: 764, loss_recons: 0.33227, loss_dis: 0.0776, iou:  0.21132,
Epoch: [6/101] time: 895, loss_recons: 0.32902, loss_dis: 0.0880, iou:  0.22269,
Epoch: [7/101] time: 1025, loss_recons: 0.34816, loss_dis: 0.0586, iou:  0.19518,
Epoch: [8/101] time: 1155, loss_recons: 0.28359, loss_dis: 0.0394, iou:  0.18827,
Epoch: [9/101] time: 1288, loss_recons: 0.33281, loss_dis: 0.0863, iou:  0.21935,
Epoch: [10/101] time: 1421, loss_recons: 0.33962, loss_dis: 0.0342, iou:  0.23780,
Epoch: [11/101] time: 1561, loss_recons: 0.29997, loss_dis: 0.1146, iou:  0.22335,
Epoch: [12/101] time: 1693, loss_recons: 0.35078, loss_dis: 0.1102, iou:  0.22114,
Epoch: [13/101] time: 1825, loss_recons: 0.34727, loss_dis: 0.0471, iou:  0.24118,
Epoch: [14/101] time: 1957, loss_recons: 0.34422, loss_dis: 0.0726, iou:  0.21827,
Epoch: [15/101] time: 2090, loss_recons: 0.41264, loss_dis: 0.1039, iou:  0.17768,
Epoch: [16/101] time: 2222, loss_recons: 0.36038, loss_dis: 0.0320, iou:  0.20040,
Epoch: [17/101] time: 2354, loss_recons: 0.33897, loss_dis: 6.1252, iou:  0.18246,
Epoch: [18/101] time: 2486, loss_recons: 0.34845, loss_dis: 0.1572, iou:  0.17828,
Epoch: [19/101] time: 2618, loss_recons: 0.32141, loss_dis: 0.0136, iou:  0.22780,
Epoch: [20/101] time: 2751, loss_recons: 0.31098, loss_dis: 0.0285, iou:  0.18937,
Epoch: [21/101] time: 2888, loss_recons: 0.31998, loss_dis: 0.6141, iou:  0.18860,
Epoch: [22/101] time: 3020, loss_recons: 0.29701, loss_dis: 0.1078, iou:  0.22287,
Epoch: [23/101] time: 3152, loss_recons: 0.31326, loss_dis: 0.0263, iou:  0.23248,
Epoch: [24/101] time: 3284, loss_recons: 0.30254, loss_dis: 0.1117, iou:  0.19477,
Epoch: [25/101] time: 3416, loss_recons: 0.35215, loss_dis: 0.1005, iou:  0.18022,
Epoch: [26/101] time: 3548, loss_recons: 0.32387, loss_dis: 0.0622, iou:  0.16264,
Epoch: [27/101] time: 3679, loss_recons: 0.33289, loss_dis: 0.0280, iou:  0.21072,
Epoch: [28/101] time: 3811, loss_recons: 0.34161, loss_dis: 0.1190, iou:  0.21607,
Epoch: [29/101] time: 3942, loss_recons: 0.29797, loss_dis: 0.1052, iou:  0.25678,
Epoch: [30/101] time: 4074, loss_recons: 0.32376, loss_dis: 0.0377, iou:  0.21540,
Epoch: [31/101] time: 4211, loss_recons: 0.34223, loss_dis: 0.0527, iou:  0.19388,
Epoch: [32/101] time: 4343, loss_recons: 0.30881, loss_dis: 0.0434, iou:  0.20209,
Epoch: [33/101] time: 4474, loss_recons: 0.32071, loss_dis: 0.0240, iou:  0.21297,
Epoch: [34/101] time: 4607, loss_recons: 0.32141, loss_dis: 0.0154, iou:  0.22352,
Epoch: [35/101] time: 4738, loss_recons: 0.33963, loss_dis: 0.0317, iou:  0.22621,
Epoch: [36/101] time: 4870, loss_recons: 0.25255, loss_dis: 0.0553, iou:  0.28589,
Epoch: [37/101] time: 5001, loss_recons: 0.30271, loss_dis: 0.0733, iou:  0.22394,
Epoch: [38/101] time: 5133, loss_recons: 0.27649, loss_dis: 0.0900, iou:  0.28867,
Epoch: [39/101] time: 5265, loss_recons: 0.30802, loss_dis: 0.0321, iou:  0.19576,
Epoch: [40/101] time: 5396, loss_recons: 0.36533, loss_dis: 0.3868, iou:  0.20898,
Epoch: [41/101] time: 5535, loss_recons: 0.33116, loss_dis: 0.0524, iou:  0.19433,
Epoch: [42/101] time: 5666, loss_recons: 0.31565, loss_dis: 0.0200, iou:  0.20397,
Epoch: [43/101] time: 5798, loss_recons: 0.33534, loss_dis: 0.0225, iou:  0.23142,
Epoch: [44/101] time: 5930, loss_recons: 0.33082, loss_dis: 0.0460, iou:  0.21270,
Epoch: [45/101] time: 6061, loss_recons: 0.30089, loss_dis: 0.5854, iou:  0.25661,
Epoch: [46/101] time: 6193, loss_recons: 0.30068, loss_dis: 0.0926, iou:  0.25181,
Epoch: [47/101] time: 6325, loss_recons: 0.31689, loss_dis: 0.0312, iou:  0.21891,
Epoch: [48/101] time: 6457, loss_recons: 0.32762, loss_dis: 0.0149, iou:  0.23395,
Epoch: [49/101] time: 6589, loss_recons: 0.30251, loss_dis: 0.0491, iou:  0.19852,
Epoch: [50/101] time: 6721, loss_recons: 0.30877, loss_dis: 0.0265, iou:  0.22312,
Epoch: [51/101] time: 6860, loss_recons: 0.32844, loss_dis: 0.1849, iou:  0.22228,
Epoch: [52/101] time: 6992, loss_recons: 0.31480, loss_dis: 0.0299, iou:  0.21367,
Epoch: [53/101] time: 7123, loss_recons: 0.32265, loss_dis: 0.3811, iou:  0.21718,
Epoch: [54/101] time: 7255, loss_recons: 0.30956, loss_dis: 0.0286, iou:  0.21538,
Epoch: [55/101] time: 7387, loss_recons: 0.25914, loss_dis: 0.0360, iou:  0.25115,
Epoch: [56/101] time: 7519, loss_recons: 0.33288, loss_dis: 0.0448, iou:  0.20528,
Epoch: [57/101] time: 7651, loss_recons: 0.31073, loss_dis: 0.0216, iou:  0.26912,
Epoch: [58/101] time: 7782, loss_recons: 0.28100, loss_dis: 0.0148, iou:  0.27993,
Epoch: [59/101] time: 7914, loss_recons: 0.28251, loss_dis: 0.0281, iou:  0.23392,
Epoch: [60/101] time: 8046, loss_recons: 0.32978, loss_dis: 0.0605, iou:  0.21555,
Epoch: [61/101] time: 8185, loss_recons: 0.23217, loss_dis: 0.0097, iou:  0.30032,
Epoch: [62/101] time: 8317, loss_recons: 0.32597, loss_dis: 0.0130, iou:  0.23519,
Epoch: [63/101] time: 8448, loss_recons: 0.31811, loss_dis: 0.2337, iou:  0.21342,
Epoch: [64/101] time: 8581, loss_recons: 0.35986, loss_dis: 0.0170, iou:  0.23358,
Epoch: [65/101] time: 8713, loss_recons: 0.34113, loss_dis: 0.0497, iou:  0.18083,
Epoch: [66/101] time: 8845, loss_recons: 0.33913, loss_dis: 0.0298, iou:  0.21031,
Epoch: [67/101] time: 8976, loss_recons: 0.31928, loss_dis: 0.0906, iou:  0.25171,
Epoch: [68/101] time: 9108, loss_recons: 0.33438, loss_dis: 0.0807, iou:  0.22412,
Epoch: [69/101] time: 9240, loss_recons: 0.29663, loss_dis: 0.0153, iou:  0.27158,
Epoch: [70/101] time: 9372, loss_recons: 0.28053, loss_dis: 0.0552, iou:  0.28576,
Epoch: [71/101] time: 9510, loss_recons: 0.28244, loss_dis: 0.0902, iou:  0.28365,
Epoch: [72/101] time: 9641, loss_recons: 0.32008, loss_dis: 0.0138, iou:  0.20418,
