Namespace(K=2, batch_size=1, c_range=26, checkpoint_dir='checkpoint_deform/chair_C200_P400_200_D600_400', compute_cd=False, continue_train=True, csize=26, data_content='content_chair', data_dir='./data/03001627/', decay_step=1, dump_deform=True, dump_deform_path='./dump_deform/chair_C200_P400_200_D600/model0', epoch=101, g_dim=32, gpu='0', gw_dim=32, input_size=32, loc_size=32, log_dir='logs/deform//chair_C200_P400_200_D600_400', lr=0.0001, lr_decay=0.99, max_sample_num=600, max_wd_num=32, mode='train', model_name='chair_model0', output_size=128, patch_size=18, sample_dir='samples_deform/chair_C200_P400_200_D600_400', sample_step=32, small_dataset=False, train_complete=False, train_deform=True, train_joint=False, train_patch=False, trans_limit=0.0001, w_dis=3.0, w_ident=0, w_mask=1, w_posi=1, w_r=1, w_s=0, wd_size=8, z_dim=3)
Namespace(K=2, batch_size=1, c_range=26, checkpoint_dir='checkpoint_deform/chair_C200_P400_200_D600_400', compute_cd=False, continue_train=False, csize=26, data_content='content_chair', data_dir='./data/03001627/', decay_step=1, dump_deform=False, dump_deform_path='./dump_deform/chair_C200_P400_200_D600/model0', epoch=101, g_dim=32, gpu='0', gw_dim=32, input_size=32, loc_size=32, log_dir='logs/deform//chair_C200_P400_200_D600_400', lr=0.0001, lr_decay=0.99, max_sample_num=600, max_wd_num=32, mode='train', model_name='chair_model0', output_size=128, patch_size=18, sample_dir='samples_deform/chair_C200_P400_200_D600_400', sample_step=32, small_dataset=False, train_complete=False, train_deform=True, train_joint=False, train_patch=False, trans_limit=0.0001, w_dis=3.0, w_ident=0, w_mask=1, w_posi=1, w_r=1, w_s=0, wd_size=8, z_dim=3)
Namespace(K=2, batch_size=1, c_range=26, checkpoint_dir='checkpoint_deform/chair_C200_P400_200_D600_400', compute_cd=False, continue_train=False, csize=26, data_content='content_chair', data_dir='./data/03001627/', decay_step=1, dump_deform=False, dump_deform_path='./dump_deform/chair_C200_P400_200_D600/model0', epoch=101, g_dim=32, gpu='0', gw_dim=32, input_size=32, loc_size=32, log_dir='logs/deform//chair_C200_P400_200_D600_400', lr=0.0001, lr_decay=0.99, max_sample_num=600, max_wd_num=32, mode='train', model_name='chair_model0', output_size=128, patch_size=18, sample_dir='samples_deform/chair_C200_P400_200_D600_400', sample_step=32, small_dataset=False, train_complete=False, train_deform=True, train_joint=False, train_patch=False, trans_limit=0.0001, w_dis=3.0, w_ident=0, w_mask=1, w_posi=1, w_r=1, w_s=0, wd_size=8, z_dim=3)
Epoch: [0/101] time: 214, loss_recons: 0.36118, loss_dis: 0.1695, iou:  0.18423,
Epoch: [1/101] time: 455, loss_recons: 0.30803, loss_dis: 0.0749, iou:  0.25065,
Epoch: [2/101] time: 691, loss_recons: 0.35257, loss_dis: 0.0592, iou:  0.20847,
Epoch: [3/101] time: 926, loss_recons: 0.35701, loss_dis: 0.0773, iou:  0.23272,
Epoch: [4/101] time: 1168, loss_recons: 0.36467, loss_dis: 0.0606, iou:  0.19195,
Epoch: [5/101] time: 1409, loss_recons: 0.30584, loss_dis: 0.1313, iou:  0.18053,
Epoch: [6/101] time: 1650, loss_recons: 0.35612, loss_dis: 0.0354, iou:  0.21827,
Epoch: [7/101] time: 1891, loss_recons: 0.33483, loss_dis: 0.0595, iou:  0.18817,
Epoch: [8/101] time: 2131, loss_recons: 0.35736, loss_dis: 0.0638, iou:  0.17317,
Epoch: [9/101] time: 2372, loss_recons: 0.31797, loss_dis: 0.0600, iou:  0.20683,
Epoch: [10/101] time: 2614, loss_recons: 0.30868, loss_dis: 0.0298, iou:  0.25315,
Epoch: [11/101] time: 2860, loss_recons: 0.35228, loss_dis: 0.0302, iou:  0.19557,
Epoch: [12/101] time: 3100, loss_recons: 0.34015, loss_dis: 0.0890, iou:  0.20232,
Epoch: [13/101] time: 3339, loss_recons: 0.33416, loss_dis: 0.0266, iou:  0.21452,
Epoch: [14/101] time: 3579, loss_recons: 0.39741, loss_dis: 0.1445, iou:  0.19201,
Epoch: [15/101] time: 3820, loss_recons: 0.34339, loss_dis: 0.0310, iou:  0.24053,
Epoch: [16/101] time: 4060, loss_recons: 0.34182, loss_dis: 0.2354, iou:  0.13667,
Epoch: [17/101] time: 4300, loss_recons: 0.34025, loss_dis: 0.0574, iou:  0.21016,
Epoch: [18/101] time: 4541, loss_recons: 0.31493, loss_dis: 0.0407, iou:  0.22125,
Epoch: [19/101] time: 4781, loss_recons: 0.36539, loss_dis: 0.0631, iou:  0.21557,
Epoch: [20/101] time: 5021, loss_recons: 0.29262, loss_dis: 0.0602, iou:  0.24425,
Epoch: [21/101] time: 5267, loss_recons: 0.32866, loss_dis: 0.0992, iou:  0.22658,
Epoch: [22/101] time: 5506, loss_recons: 0.36362, loss_dis: 0.2179, iou:  0.21223,
Epoch: [23/101] time: 5746, loss_recons: 0.36451, loss_dis: 0.1021, iou:  0.19370,
Epoch: [24/101] time: 5986, loss_recons: 0.31646, loss_dis: 0.4228, iou:  0.25347,
Epoch: [25/101] time: 6225, loss_recons: 0.34757, loss_dis: 0.1170, iou:  0.18265,
Epoch: [26/101] time: 6464, loss_recons: 0.33605, loss_dis: 0.0403, iou:  0.21231,
Epoch: [27/101] time: 6704, loss_recons: 0.33063, loss_dis: 0.0265, iou:  0.21726,
Epoch: [28/101] time: 6943, loss_recons: 0.34755, loss_dis: 0.0371, iou:  0.20246,
Epoch: [29/101] time: 7182, loss_recons: 0.32925, loss_dis: 0.2208, iou:  0.20866,
Epoch: [30/101] time: 7421, loss_recons: 0.35562, loss_dis: 0.0239, iou:  0.26013,
Epoch: [31/101] time: 7668, loss_recons: 0.33044, loss_dis: 0.0280, iou:  0.21835,
Epoch: [32/101] time: 7907, loss_recons: 0.29560, loss_dis: 0.4437, iou:  0.28604,
Epoch: [33/101] time: 8147, loss_recons: 0.29148, loss_dis: 0.0913, iou:  0.23029,
Epoch: [34/101] time: 8386, loss_recons: 0.32158, loss_dis: 0.0143, iou:  0.25684,
Epoch: [35/101] time: 8625, loss_recons: 0.29244, loss_dis: 0.0784, iou:  0.18206,
Epoch: [36/101] time: 8864, loss_recons: 0.34379, loss_dis: 0.0249, iou:  0.23378,
Epoch: [37/101] time: 9103, loss_recons: 0.25920, loss_dis: 0.0499, iou:  0.28715,
Epoch: [38/101] time: 9342, loss_recons: 0.35637, loss_dis: 0.3595, iou:  0.19950,
Epoch: [39/101] time: 9581, loss_recons: 0.33531, loss_dis: 0.0691, iou:  0.21079,
