Namespace(K=2, batch_size=1, c_range=26, checkpoint_dir='checkpoint_patch/chair_C200_P400_200', compute_cd=False, continue_train=False, csize=26, data_content='content_chair', data_dir='./data/03001627/', decay_step=1, dump_deform=False, dump_deform_path='./dump_deform/chair_C200_P400_200_D600/model0', epoch=251, g_dim=32, gpu='0', gw_dim=32, input_size=32, loc_size=32, log_dir='logs/patch/C200_P400_200/', lr=0.0001, lr_decay=0.99, max_sample_num=400, max_wd_num=32, mode='train', model_name='chair_model0', output_size=128, patch_size=18, sample_dir='samples_patch/chair_C200_P400_200', sample_step=32, small_dataset=False, train_complete=False, train_deform=False, train_joint=False, train_patch=True, trans_limit=0.0001, w_dis=1, w_ident=8.0, w_mask=1, w_posi=1, w_r=1, w_s=0, wd_size=8, z_dim=128)
Namespace(K=2, batch_size=1, c_range=26, checkpoint_dir='checkpoint_patch/chair_C200_P400_200', compute_cd=False, continue_train=False, csize=26, data_content='content_chair', data_dir='./data/03001627/', decay_step=1, dump_deform=False, dump_deform_path='./dump_deform/chair_C200_P400_200_D600/model0', epoch=251, g_dim=32, gpu='0', gw_dim=32, input_size=32, loc_size=32, log_dir='logs/patch/C200_P400_200/', lr=0.0001, lr_decay=0.99, max_sample_num=400, max_wd_num=32, mode='train', model_name='chair_model0', output_size=128, patch_size=18, sample_dir='samples_patch/chair_C200_P400_200', sample_step=32, small_dataset=False, train_complete=False, train_deform=False, train_joint=False, train_patch=True, trans_limit=0.0001, w_dis=1, w_ident=8.0, w_mask=1, w_posi=1, w_r=1, w_s=0, wd_size=8, z_dim=128)
Epoch: [0/251] time: 626, loss_rand: 5.51038, loss_itent:  0.02856
Epoch: [1/251] time: 1128, loss_rand: 2.62581, loss_itent:  0.03532
Epoch: [2/251] time: 1632, loss_rand: 4.79573, loss_itent:  0.03269
Epoch: [3/251] time: 2139, loss_rand: 6.55271, loss_itent:  0.17128
Epoch: [4/251] time: 2643, loss_rand: 2.25902, loss_itent:  0.08146
Epoch: [5/251] time: 3146, loss_rand: 1.81845, loss_itent:  0.03680
Epoch: [6/251] time: 3653, loss_rand: 1.32423, loss_itent:  0.04644
Epoch: [7/251] time: 4162, loss_rand: 2.00210, loss_itent:  0.03948
Epoch: [8/251] time: 4669, loss_rand: 1.52659, loss_itent:  0.16753
Epoch: [9/251] time: 5178, loss_rand: 1.71070, loss_itent:  0.04627
Epoch: [10/251] time: 5686, loss_rand: 0.71352, loss_itent:  0.03148
Epoch: [11/251] time: 6198, loss_rand: 1.14714, loss_itent:  0.06097
Epoch: [12/251] time: 6702, loss_rand: 1.58294, loss_itent:  0.01972
Epoch: [13/251] time: 7204, loss_rand: 1.30115, loss_itent:  0.05134
Epoch: [14/251] time: 7714, loss_rand: 0.99067, loss_itent:  0.04225
Epoch: [15/251] time: 8216, loss_rand: 1.46974, loss_itent:  0.06139
Epoch: [16/251] time: 8722, loss_rand: 1.71001, loss_itent:  0.05137
Epoch: [17/251] time: 9225, loss_rand: 0.76490, loss_itent:  0.02836
Epoch: [18/251] time: 9728, loss_rand: 1.15398, loss_itent:  0.05027
Epoch: [19/251] time: 10228, loss_rand: 0.97179, loss_itent:  0.02416
Epoch: [20/251] time: 10733, loss_rand: 0.78628, loss_itent:  0.04763
