Namespace(K=2, batch_size=1, c_range=26, checkpoint_dir='checkpoint_patch/chair_C50_P400', compute_cd=False, continue_train=False, csize=26, data_content='content_chair', data_dir='./data/03001627/', decay_step=1, dump_deform=False, dump_deform_path='./dump_deform/chair_C50_P400_D600/model0', epoch=251, g_dim=32, gpu='0', gw_dim=32, input_size=32, loc_size=32, log_dir='logs/patch/C50_P400_200/', lr=0.0001, lr_decay=0.99, max_sample_num=400, max_wd_num=32, mode='train', model_name='chair_model0', output_size=128, patch_size=18, sample_dir='samples_patch/chair_C50_P400', sample_step=32, small_dataset=False, train_complete=False, train_deform=False, train_joint=False, train_patch=True, trans_limit=0.0001, w_dis=1, w_ident=8.0, w_mask=1, w_posi=1, w_r=1, w_s=0, wd_size=8, z_dim=128)
Epoch: [0/251] time: 652, loss_rand: 3.56391, loss_itent:  0.27078
Epoch: [1/251] time: 1161, loss_rand: 5.94375, loss_itent:  0.13883
Epoch: [2/251] time: 1658, loss_rand: 1.69343, loss_itent:  0.04389
Epoch: [3/251] time: 2154, loss_rand: 3.03329, loss_itent:  0.05801
Epoch: [4/251] time: 2656, loss_rand: 1.98090, loss_itent:  0.17954
Epoch: [5/251] time: 3161, loss_rand: 1.64002, loss_itent:  0.05773
Epoch: [6/251] time: 3662, loss_rand: 2.74117, loss_itent:  0.08504
Epoch: [7/251] time: 4168, loss_rand: 1.99437, loss_itent:  0.11544
Epoch: [8/251] time: 4668, loss_rand: 2.07523, loss_itent:  0.07341
Epoch: [9/251] time: 5168, loss_rand: 2.76008, loss_itent:  0.27043
Epoch: [10/251] time: 5666, loss_rand: 1.74030, loss_itent:  0.08368
Epoch: [11/251] time: 6172, loss_rand: 1.82393, loss_itent:  0.08514
Epoch: [12/251] time: 6675, loss_rand: 1.41396, loss_itent:  0.23502
Epoch: [13/251] time: 7174, loss_rand: 1.54038, loss_itent:  0.08469
Epoch: [14/251] time: 7679, loss_rand: 1.65391, loss_itent:  0.11490
Epoch: [15/251] time: 8182, loss_rand: 1.93945, loss_itent:  0.02106
Epoch: [16/251] time: 8689, loss_rand: 1.22061, loss_itent:  0.10981
Epoch: [17/251] time: 9192, loss_rand: 0.80064, loss_itent:  0.07480
Epoch: [18/251] time: 9691, loss_rand: 2.37085, loss_itent:  0.16018
Epoch: [19/251] time: 10191, loss_rand: 1.65137, loss_itent:  0.07174
Epoch: [20/251] time: 10694, loss_rand: 1.51184, loss_itent:  0.04294
Epoch: [21/251] time: 11202, loss_rand: 1.81906, loss_itent:  0.05132
Epoch: [22/251] time: 11709, loss_rand: 1.67117, loss_itent:  0.06306
Epoch: [23/251] time: 12214, loss_rand: 1.09908, loss_itent:  0.03454
Epoch: [24/251] time: 12713, loss_rand: 1.02104, loss_itent:  0.06006
Epoch: [25/251] time: 13219, loss_rand: 2.01211, loss_itent:  0.04353
Epoch: [26/251] time: 13726, loss_rand: 1.40559, loss_itent:  0.05549
Epoch: [27/251] time: 14231, loss_rand: 1.15795, loss_itent:  0.03376
Epoch: [28/251] time: 14735, loss_rand: 0.98282, loss_itent:  0.02189
Epoch: [29/251] time: 15240, loss_rand: 0.82634, loss_itent:  0.03582
Epoch: [30/251] time: 15744, loss_rand: 1.00235, loss_itent:  0.08693
Epoch: [31/251] time: 16251, loss_rand: 1.65075, loss_itent:  0.03293
Epoch: [32/251] time: 16745, loss_rand: 1.23957, loss_itent:  0.02995
Epoch: [33/251] time: 17243, loss_rand: 1.30000, loss_itent:  0.04030
Epoch: [34/251] time: 17749, loss_rand: 1.02647, loss_itent:  0.03820
Epoch: [35/251] time: 18241, loss_rand: 1.08570, loss_itent:  0.04550
Epoch: [36/251] time: 18741, loss_rand: 0.71443, loss_itent:  0.01776
Epoch: [37/251] time: 19238, loss_rand: 1.30399, loss_itent:  0.02103
Epoch: [38/251] time: 19737, loss_rand: 0.88457, loss_itent:  0.03236
Epoch: [39/251] time: 20248, loss_rand: 1.70499, loss_itent:  0.07218
Epoch: [40/251] time: 20745, loss_rand: 1.04493, loss_itent:  0.03744
Epoch: [41/251] time: 21253, loss_rand: 1.15337, loss_itent:  0.04208
Epoch: [42/251] time: 21750, loss_rand: 1.83732, loss_itent:  0.08248
Epoch: [43/251] time: 22257, loss_rand: 1.34047, loss_itent:  0.09676
Epoch: [44/251] time: 22756, loss_rand: 1.20087, loss_itent:  0.03531
Epoch: [45/251] time: 23267, loss_rand: 0.83428, loss_itent:  0.01885
Epoch: [46/251] time: 23772, loss_rand: 1.31531, loss_itent:  0.06189
Epoch: [47/251] time: 24272, loss_rand: 0.93118, loss_itent:  0.04596
Epoch: [48/251] time: 24771, loss_rand: 1.01856, loss_itent:  0.06876
Epoch: [49/251] time: 25272, loss_rand: 1.13129, loss_itent:  0.04291
Epoch: [50/251] time: 25767, loss_rand: 0.56403, loss_itent:  0.02401
Epoch: [51/251] time: 26277, loss_rand: 1.69175, loss_itent:  0.05560
Epoch: [52/251] time: 26777, loss_rand: 1.01116, loss_itent:  0.01231
Epoch: [53/251] time: 27281, loss_rand: 0.61630, loss_itent:  0.01876
Epoch: [54/251] time: 27778, loss_rand: 1.38214, loss_itent:  0.03141
Epoch: [55/251] time: 28282, loss_rand: 0.67799, loss_itent:  0.02094
Epoch: [56/251] time: 28796, loss_rand: 1.07335, loss_itent:  0.03285
Epoch: [57/251] time: 29294, loss_rand: 1.04979, loss_itent:  0.02873
Epoch: [58/251] time: 29800, loss_rand: 0.79038, loss_itent:  0.01449
Epoch: [59/251] time: 30296, loss_rand: 1.08830, loss_itent:  0.03707
Epoch: [60/251] time: 30789, loss_rand: 0.76808, loss_itent:  0.01695
Epoch: [61/251] time: 31296, loss_rand: 1.32293, loss_itent:  0.08175
Epoch: [62/251] time: 31807, loss_rand: 0.79337, loss_itent:  0.01977
Epoch: [63/251] time: 32311, loss_rand: 0.64844, loss_itent:  0.01692
Epoch: [64/251] time: 32812, loss_rand: 1.12499, loss_itent:  0.02292
Epoch: [65/251] time: 33320, loss_rand: 1.40345, loss_itent:  0.03692
Epoch: [66/251] time: 33829, loss_rand: 1.14383, loss_itent:  0.01500
Epoch: [67/251] time: 34326, loss_rand: 1.12528, loss_itent:  0.08383
Epoch: [68/251] time: 34823, loss_rand: 0.78513, loss_itent:  0.01369
Epoch: [69/251] time: 35320, loss_rand: 0.99914, loss_itent:  0.02431
Epoch: [70/251] time: 35821, loss_rand: 1.99518, loss_itent:  0.04858
Epoch: [71/251] time: 36332, loss_rand: 1.61741, loss_itent:  0.05042
Epoch: [72/251] time: 36838, loss_rand: 0.73845, loss_itent:  0.03195
Epoch: [73/251] time: 37336, loss_rand: 0.65112, loss_itent:  0.01930
Epoch: [74/251] time: 37830, loss_rand: 1.09179, loss_itent:  0.02352
Epoch: [75/251] time: 38334, loss_rand: 0.67821, loss_itent:  0.03124
Epoch: [76/251] time: 38846, loss_rand: 1.56749, loss_itent:  0.01533
Epoch: [77/251] time: 39344, loss_rand: 1.21051, loss_itent:  0.01140
Epoch: [78/251] time: 39841, loss_rand: 0.57784, loss_itent:  0.01353
Epoch: [79/251] time: 40342, loss_rand: 1.46145, loss_itent:  0.04051
Epoch: [80/251] time: 40838, loss_rand: 0.93154, loss_itent:  0.02510
Epoch: [81/251] time: 41351, loss_rand: 0.85447, loss_itent:  0.03278
Epoch: [82/251] time: 41853, loss_rand: 1.01788, loss_itent:  0.01842
Epoch: [83/251] time: 42353, loss_rand: 0.79817, loss_itent:  0.02733
Epoch: [84/251] time: 42856, loss_rand: 0.65643, loss_itent:  0.01061
Epoch: [85/251] time: 43350, loss_rand: 0.58031, loss_itent:  0.01998
Epoch: [86/251] time: 43860, loss_rand: 0.79536, loss_itent:  0.02215
Epoch: [87/251] time: 44359, loss_rand: 0.85030, loss_itent:  0.02976
Epoch: [88/251] time: 44859, loss_rand: 0.69283, loss_itent:  0.02968
Epoch: [89/251] time: 45358, loss_rand: 0.70212, loss_itent:  0.02072
Epoch: [90/251] time: 45869, loss_rand: 0.76156, loss_itent:  0.02589
Epoch: [91/251] time: 46385, loss_rand: 0.88479, loss_itent:  0.01226
Epoch: [92/251] time: 46888, loss_rand: 0.71781, loss_itent:  0.03618
Epoch: [93/251] time: 47392, loss_rand: 0.90368, loss_itent:  0.01505
Epoch: [94/251] time: 47890, loss_rand: 0.85138, loss_itent:  0.01912
Epoch: [95/251] time: 48392, loss_rand: 0.67145, loss_itent:  0.01127
Epoch: [96/251] time: 48902, loss_rand: 0.81055, loss_itent:  0.03300
Epoch: [97/251] time: 49402, loss_rand: 0.95824, loss_itent:  0.03633
Epoch: [98/251] time: 49901, loss_rand: 0.65946, loss_itent:  0.01834
Epoch: [99/251] time: 50404, loss_rand: 0.66255, loss_itent:  0.01933
Epoch: [100/251] time: 50907, loss_rand: 0.72551, loss_itent:  0.01516
Epoch: [101/251] time: 51418, loss_rand: 0.76434, loss_itent:  0.03356
Epoch: [102/251] time: 51923, loss_rand: 0.93426, loss_itent:  0.01949
Epoch: [103/251] time: 52424, loss_rand: 0.85044, loss_itent:  0.01424
Epoch: [104/251] time: 52929, loss_rand: 0.85681, loss_itent:  0.01773
Epoch: [105/251] time: 53434, loss_rand: 0.93133, loss_itent:  0.01879
Epoch: [106/251] time: 53945, loss_rand: 0.58948, loss_itent:  0.02087
Epoch: [107/251] time: 54450, loss_rand: 0.84572, loss_itent:  0.01388
Epoch: [108/251] time: 54950, loss_rand: 0.51973, loss_itent:  0.01064
Epoch: [109/251] time: 55451, loss_rand: 0.67458, loss_itent:  0.01456
Epoch: [110/251] time: 55951, loss_rand: 0.82234, loss_itent:  0.01262
Epoch: [111/251] time: 56465, loss_rand: 0.72944, loss_itent:  0.03445
Epoch: [112/251] time: 56967, loss_rand: 0.54186, loss_itent:  0.01213
Epoch: [113/251] time: 57472, loss_rand: 1.04591, loss_itent:  0.01884
Epoch: [114/251] time: 57971, loss_rand: 0.90352, loss_itent:  0.02175
Epoch: [115/251] time: 58471, loss_rand: 0.76561, loss_itent:  0.01387
Epoch: [116/251] time: 58983, loss_rand: 0.60395, loss_itent:  0.02256
Epoch: [117/251] time: 59484, loss_rand: 1.01026, loss_itent:  0.02393
Epoch: [118/251] time: 59985, loss_rand: 1.01452, loss_itent:  0.02103
Epoch: [119/251] time: 60486, loss_rand: 0.88290, loss_itent:  0.01988
Epoch: [120/251] time: 60986, loss_rand: 0.75918, loss_itent:  0.02176
Epoch: [121/251] time: 61489, loss_rand: 1.20439, loss_itent:  0.02420
Epoch: [122/251] time: 61995, loss_rand: 0.69411, loss_itent:  0.02638
Epoch: [123/251] time: 62496, loss_rand: 0.80050, loss_itent:  0.01121
Epoch: [124/251] time: 63001, loss_rand: 1.12546, loss_itent:  0.01594
Epoch: [125/251] time: 63509, loss_rand: 1.42910, loss_itent:  0.04315
Epoch: [126/251] time: 64015, loss_rand: 0.85718, loss_itent:  0.02531
Epoch: [127/251] time: 64518, loss_rand: 0.51331, loss_itent:  0.01195
Epoch: [128/251] time: 65018, loss_rand: 0.94389, loss_itent:  0.05326
Epoch: [129/251] time: 65522, loss_rand: 0.47609, loss_itent:  0.00675
Epoch: [130/251] time: 66034, loss_rand: 0.66725, loss_itent:  0.02990
Epoch: [131/251] time: 66540, loss_rand: 0.67670, loss_itent:  0.01417
Epoch: [132/251] time: 67043, loss_rand: 0.76778, loss_itent:  0.00906
Epoch: [133/251] time: 67555, loss_rand: 0.66362, loss_itent:  0.01812
Epoch: [134/251] time: 68063, loss_rand: 1.20446, loss_itent:  0.02110
Epoch: [135/251] time: 68567, loss_rand: 0.78443, loss_itent:  0.02268
Epoch: [136/251] time: 69079, loss_rand: 0.57883, loss_itent:  0.01420
Namespace(K=2, batch_size=1, c_range=26, checkpoint_dir='checkpoint_patch/chair_C50_P400', compute_cd=False, continue_train=True, csize=26, data_content='content_chair', data_dir='./data/03001627/', decay_step=1, dump_deform=False, dump_deform_path='./dump_deform/chair_C50_P400_D600/model0', epoch=251, g_dim=32, gpu='0', gw_dim=32, input_size=32, loc_size=32, log_dir='logs/patch/C50_P400_200/', lr=0.0001, lr_decay=0.99, max_sample_num=400, max_wd_num=32, mode='train', model_name='chair_model0', output_size=128, patch_size=18, sample_dir='samples_patch/chair_C50_P400', sample_step=32, small_dataset=False, train_complete=False, train_deform=False, train_joint=False, train_patch=True, trans_limit=0.0001, w_dis=1, w_ident=8.0, w_mask=1, w_posi=1, w_r=1, w_s=0, wd_size=8, z_dim=128)
Epoch: [136/251] time: 579, loss_rand: 0.69310, loss_itent:  0.02491
