Namespace(K=2, batch_size=1, c_range=26, checkpoint_dir='checkpoint_patch/chair_C50_P400_400', compute_cd=False, continue_train=False, csize=26, data_content='content_chair', data_dir='./data/03001627/', decay_step=1, dump_deform=False, dump_deform_path='./dump_deform/chair_C50_P400_400_D600/model0', epoch=251, g_dim=32, gpu='0', gw_dim=32, input_size=32, loc_size=32, log_dir='logs/patch/C50_P400_400/', lr=0.0001, lr_decay=0.99, max_sample_num=400, max_wd_num=32, mode='train', model_name='chair_model0', output_size=128, patch_size=18, sample_dir='samples_patch/chair_C50_P400_400', sample_step=32, small_dataset=False, train_complete=False, train_deform=False, train_joint=False, train_patch=True, trans_limit=0.0001, w_dis=1, w_ident=8.0, w_mask=1, w_posi=1, w_r=1, w_s=0, wd_size=8, z_dim=128)
Epoch: [0/251] time: 1212, loss_rand: 2.90195, loss_itent:  0.04576
Epoch: [1/251] time: 2223, loss_rand: 1.89281, loss_itent:  0.19910
Epoch: [2/251] time: 3228, loss_rand: 3.18690, loss_itent:  0.17147
Epoch: [3/251] time: 4234, loss_rand: 6.42207, loss_itent:  0.09370
Epoch: [4/251] time: 5250, loss_rand: 1.54747, loss_itent:  0.05724
Epoch: [5/251] time: 6264, loss_rand: 2.05158, loss_itent:  0.19234
Epoch: [6/251] time: 7287, loss_rand: 1.05525, loss_itent:  0.03653
Epoch: [7/251] time: 8302, loss_rand: 1.80282, loss_itent:  0.06119
Epoch: [8/251] time: 9330, loss_rand: 2.12822, loss_itent:  0.12655
Epoch: [9/251] time: 10343, loss_rand: 1.26922, loss_itent:  0.04519
Epoch: [10/251] time: 11370, loss_rand: 1.43819, loss_itent:  0.05111
Epoch: [11/251] time: 12392, loss_rand: 2.77812, loss_itent:  0.04488
Epoch: [12/251] time: 13404, loss_rand: 1.78350, loss_itent:  0.06598
Epoch: [13/251] time: 14407, loss_rand: 1.04356, loss_itent:  0.06853
Epoch: [14/251] time: 15420, loss_rand: 1.06141, loss_itent:  0.02277
Epoch: [15/251] time: 16440, loss_rand: 1.26041, loss_itent:  0.05918
Epoch: [16/251] time: 17470, loss_rand: 1.73076, loss_itent:  0.04858
Epoch: [17/251] time: 18480, loss_rand: 1.90402, loss_itent:  0.02570
Epoch: [18/251] time: 19500, loss_rand: 1.92028, loss_itent:  0.16957
Epoch: [19/251] time: 20514, loss_rand: 1.95705, loss_itent:  0.12300
Epoch: [20/251] time: 21528, loss_rand: 1.25312, loss_itent:  0.04465
Epoch: [21/251] time: 22550, loss_rand: 1.52110, loss_itent:  0.03116
Epoch: [22/251] time: 23548, loss_rand: 1.90640, loss_itent:  0.05669
Epoch: [23/251] time: 24574, loss_rand: 0.80206, loss_itent:  0.01304
Epoch: [24/251] time: 25600, loss_rand: 1.11258, loss_itent:  0.04242
Epoch: [25/251] time: 26602, loss_rand: 1.43270, loss_itent:  0.02909
Epoch: [26/251] time: 27622, loss_rand: 0.84280, loss_itent:  0.03398
Epoch: [27/251] time: 28636, loss_rand: 0.91189, loss_itent:  0.03850
Epoch: [28/251] time: 29655, loss_rand: 1.43176, loss_itent:  0.02726
Epoch: [29/251] time: 30667, loss_rand: 1.11451, loss_itent:  0.07036
Epoch: [30/251] time: 31680, loss_rand: 0.81265, loss_itent:  0.01281
Epoch: [31/251] time: 32711, loss_rand: 0.57313, loss_itent:  0.02285
Epoch: [32/251] time: 33723, loss_rand: 0.61817, loss_itent:  0.02387
Epoch: [33/251] time: 34739, loss_rand: 2.18241, loss_itent:  0.04081
Epoch: [34/251] time: 35756, loss_rand: 1.97409, loss_itent:  0.09970
Epoch: [35/251] time: 36775, loss_rand: 2.26204, loss_itent:  0.04596
Epoch: [36/251] time: 37803, loss_rand: 0.89220, loss_itent:  0.02009
Epoch: [37/251] time: 38830, loss_rand: 0.98574, loss_itent:  0.02190
Epoch: [38/251] time: 39840, loss_rand: 1.01446, loss_itent:  0.02799
Epoch: [39/251] time: 40858, loss_rand: 1.11126, loss_itent:  0.02047
Epoch: [40/251] time: 41887, loss_rand: 1.20413, loss_itent:  0.03948
Epoch: [41/251] time: 42926, loss_rand: 1.10978, loss_itent:  0.03012
Epoch: [42/251] time: 43948, loss_rand: 1.40400, loss_itent:  0.03990
Epoch: [43/251] time: 44966, loss_rand: 0.68625, loss_itent:  0.00937
Epoch: [44/251] time: 45986, loss_rand: 0.95588, loss_itent:  0.04173
Epoch: [45/251] time: 46994, loss_rand: 1.15926, loss_itent:  0.11953
Epoch: [46/251] time: 48021, loss_rand: 0.69607, loss_itent:  0.01401
Epoch: [47/251] time: 49036, loss_rand: 1.06721, loss_itent:  0.02835
Epoch: [48/251] time: 50063, loss_rand: 0.68142, loss_itent:  0.03157
Epoch: [49/251] time: 51084, loss_rand: 1.47935, loss_itent:  0.03827
Epoch: [50/251] time: 52112, loss_rand: 0.77365, loss_itent:  0.03008
Epoch: [51/251] time: 53152, loss_rand: 0.58242, loss_itent:  0.01734
Epoch: [52/251] time: 54205, loss_rand: 0.69916, loss_itent:  0.02649
Epoch: [53/251] time: 55226, loss_rand: 0.99486, loss_itent:  0.01528
Epoch: [54/251] time: 56241, loss_rand: 1.79563, loss_itent:  0.03120
Epoch: [55/251] time: 57275, loss_rand: 0.66487, loss_itent:  0.02219
Epoch: [56/251] time: 58305, loss_rand: 0.56961, loss_itent:  0.01306
Epoch: [57/251] time: 59326, loss_rand: 0.67661, loss_itent:  0.01958
Epoch: [58/251] time: 60356, loss_rand: 1.27725, loss_itent:  0.03053
Epoch: [59/251] time: 61382, loss_rand: 0.86264, loss_itent:  0.03129
Epoch: [60/251] time: 62407, loss_rand: 0.87430, loss_itent:  0.01112
Epoch: [61/251] time: 63426, loss_rand: 0.58985, loss_itent:  0.01278
Epoch: [62/251] time: 64439, loss_rand: 0.52187, loss_itent:  0.01060
Epoch: [63/251] time: 65466, loss_rand: 1.28807, loss_itent:  0.02129
