Namespace(K=2, batch_size=1, c_range=26, checkpoint_dir='checkpoint_patch/chair_C50_P600', compute_cd=False, continue_train=False, csize=26, data_content='content_chair', data_dir='./data/03001627/', decay_step=1, dump_deform=False, dump_deform_path='./dump_deform/chair_C50_P600_D800/model0', epoch=251, g_dim=32, gpu='0', gw_dim=32, input_size=32, loc_size=32, log_dir='logs/patch/C50_P600_200/', lr=0.0001, lr_decay=0.99, max_sample_num=600, max_wd_num=32, mode='train', model_name='chair_model0', output_size=128, patch_size=18, sample_dir='samples_patch/chair_C50_P600', sample_step=32, small_dataset=False, train_complete=False, train_deform=False, train_joint=False, train_patch=True, trans_limit=0.0001, w_dis=1, w_ident=8.0, w_mask=1, w_posi=1, w_r=1, w_s=0, wd_size=8, z_dim=128)
Epoch: [0/251] time: 643, loss_rand: 5.07090, loss_itent:  0.06535
Epoch: [1/251] time: 1164, loss_rand: 4.35827, loss_itent:  0.03088
Epoch: [2/251] time: 1678, loss_rand: 5.71768, loss_itent:  0.04248
Epoch: [3/251] time: 2195, loss_rand: 1.54287, loss_itent:  0.12553
Epoch: [4/251] time: 2714, loss_rand: 4.13774, loss_itent:  0.22432
Epoch: [5/251] time: 3222, loss_rand: 5.42422, loss_itent:  0.16363
Epoch: [6/251] time: 3743, loss_rand: 2.27209, loss_itent:  0.10717
Epoch: [7/251] time: 4253, loss_rand: 2.37801, loss_itent:  0.10866
Epoch: [8/251] time: 4763, loss_rand: 4.01125, loss_itent:  0.24697
Epoch: [9/251] time: 5277, loss_rand: 2.46355, loss_itent:  0.04770
Epoch: [10/251] time: 5790, loss_rand: 1.65427, loss_itent:  0.06833
Epoch: [11/251] time: 6310, loss_rand: 1.52247, loss_itent:  0.12232
Epoch: [12/251] time: 6823, loss_rand: 1.86710, loss_itent:  0.05030
Epoch: [13/251] time: 7337, loss_rand: 1.47140, loss_itent:  0.06299
Epoch: [14/251] time: 7850, loss_rand: 1.82887, loss_itent:  0.35449
Epoch: [15/251] time: 8365, loss_rand: 2.65711, loss_itent:  0.10791
Epoch: [16/251] time: 8887, loss_rand: 1.55623, loss_itent:  0.03209
Epoch: [17/251] time: 9400, loss_rand: 1.52316, loss_itent:  0.07171
Epoch: [18/251] time: 9916, loss_rand: 1.27748, loss_itent:  0.04605
Epoch: [19/251] time: 10432, loss_rand: 1.86781, loss_itent:  0.08618
Epoch: [20/251] time: 10945, loss_rand: 1.78603, loss_itent:  0.08563
Epoch: [21/251] time: 11468, loss_rand: 1.48809, loss_itent:  0.08841
Epoch: [22/251] time: 11977, loss_rand: 1.84171, loss_itent:  0.09606
Epoch: [23/251] time: 12488, loss_rand: 1.56091, loss_itent:  0.04119
Epoch: [24/251] time: 13008, loss_rand: 1.62408, loss_itent:  0.05961
Epoch: [25/251] time: 13521, loss_rand: 1.35630, loss_itent:  0.02757
Epoch: [26/251] time: 14045, loss_rand: 2.23830, loss_itent:  0.09324
